"","user","scheme","site","event","timeTaken_sec"
"1","ipt401","unknown;N/A","HS-2011-104","testing",0
"2","ipt401","testpasstiles;ImageP","wvacation","Created Password",0
"3","ipt401","testpasstiles;ImageP","wvacation","testing",4
"4","ipt401","testpasstiles;ImageP","wvacation","testing",5
"5","ipt401","testpasstiles;ImageP","wvacation","testing",6
"6","ipt401","testpasstiles;ImageP","wvacation","testing",102
"7","ipt401","testpasstiles;ImageP","wvacation","testing",102
"8","ipt401","testpasstiles;ImageP","wvacation","testing",116
"9","ipt401","testpasstiles;ImageP","wvacation","testing",116
"10","ipt401","testpasstiles;ImageP","studentlife","Created Password",0
"11","ipt401","testpasstiles;ImageP","studentlife","testing",0
"12","ipt401","testpasstiles;ImageP","studentlife","testing",1
"13","ipt401","testpasstiles;ImageP","studentlife","testing",1
"14","ipt401","testpasstiles;ImageP","studentlife","testing",8
"15","ipt401","testpasstiles;ImageP","studentlife","testing",10
"16","ipt401","testpasstiles;ImageP","studentlife","testing",15
"17","ipt401","testpasstiles;ImageP","studentlife","testing",16
"18","ipt401","testpasstiles;ImageP","studentlife","testing",16
"19","ipt401","testpasstiles;ImageP","studentlife","testing",17
"20","ipt401","testpasstiles;ImageP","studentlife","testing",17
"21","ipt401","testpasstiles;ImageP","studentlife","testing",24
"22","ipt401","testpasstiles;ImageP","studentlife","testing",24
"23","ipt401","testpasstiles;ImageP","studentlife","testing",41
"24","ipt401","testpasstiles;ImageP","studentlife","testing",42
"25","ipt401","testpasstiles;ImageP","studentlife","testing",43
"26","ipt401","testpasstiles;ImageP","studentlife","testing",49
"27","ipt401","testpasstiles;ImageP","studentlife","testing",60
"28","ipt401","testpasstiles;ImageP","studentlife","testing",61
"29","ipt401","testpasstiles;ImageP","studentlife","testing",69
"30","ipt401","testpasstiles;ImageP","studentlife","testing",69
"31","ipt401","testpasstiles;ImageP","studentlife","testing",77
"32","ipt401","testpasstiles;ImageP","studentlife","testing",77
"33","ipt401","imagePassTiles;Image","studentlife","testing",90
