"","user","scheme","site","event","timeTaken_sec"
"1","ast403","unknown;N/A","HS-2011-104","testing",0
"2","ast403","unknown;N/A","HS-2011-1031","testing",0
"3","ast403","textrandom;az-6","wvacation","Created Password",0
"4","ast403","textrandom;az-6","wvacation","testing",7
"5","ast403","textrandom;az-6","wvacation","testing",7
"6","ast403","textrandom;az-6","wvacation","testing",22
"7","ast403","textrandom;az-6","wvacation","testing",23
"8","ast403","textrandom;az-6","wvacation","testing",31
"9","ast403","textrandom;az-6","wvacation","testing",32
"10","ast403","textrandom;az-6","wvacation","testing",36
"11","ast403","textrandom;az-6","wvacation","testing",39
"12","ast403","textrandom;az-6","wvacation","Created Password",0
"13","ast403","textrandom;az-6","wvacation","testing",8
"14","ast403","textrandom;az-6","wvacation","testing",9
"15","ast403","textrandom;az-6","wvacation","testing",12
"16","ast403","textrandom;az-6","wvacation","testing",17
"17","ast403","textrandom;az-6","wvacation","testing",40
"18","ast403","textrandom;az-6","wvacation","testing",44
"19","ast403","unknown;az-6","wvacation","Successful Login",45
"20","ast403","textrandom;az-6","studentlife","Created Password",0
"21","ast403","textrandom;az-6","studentlife","testing",18
"22","ast403","textrandom;az-6","studentlife","testing",21
"23","ast403","textrandom;az-6","studentlife","testing",25
"24","ast403","textrandom;az-6","studentlife","testing",31
"25","ast403","textrandom;az-6","voteforyou","Created Password",0
"26","ast403","textrandom;az-6","voteforyou","testing",14
"27","ast403","textrandom;az-6","voteforyou","testing",14
"28","ast403","textrandom;az-6","voteforyou","testing",17
"29","ast403","textrandom;az-6","voteforyou","testing",22
"30","ast403","textrandom;az-6","studentlife","testing",48
"31","ast403","textrandom;az-6","studentlife","testing",57
"32","ast403","unknown;az-6","studentlife","Successful Login",58
"33","ast403","textrandom;az-6","voteforyou","testing",151
"34","ast403","textrandom;az-6","voteforyou","testing",160
"35","ast403","unknown;az-6","voteforyou","Successful Login",160
"36","ast403","unknown;N/A","HS-2011-1031","testing",287
"37","ast403","unknown;N/A","HS-2011-1031","testing",305
"38","ast403","unknown;N/A","HS-2011-1031","testing",328
"39","ast403","unknown;N/A","HS-2011-1031","testing",403
"40","ast403","unknown;N/A","HS-2011-1031","testing",467
"41","ast403","unknown;N/A","HS-2011-1034","testing",551
"42","ast403","unknown;N/A","HS-2011-1031","testing",593
"43","ast403","unknown;N/A","HS-2011-1031","testing",705
"44","ast403","unknown;N/A","HS-2011-1031","testing",745
"45","ast403","unknown;N/A","HS-2011-1041","testing",770
"46","ast403","unknown;N/A","HS-2011-1041","testing",788
"47","ast403","unknown;N/A","HS-2011-1041","testing",802
"48","ast403","unknown;N/A","HS-2011-1041","testing",847
"49","ast403","unknown;N/A","HS-2011-1041","testing",890
"50","ast403","unknown;N/A","HS-2011-1041","testing",946
"51","ast403","unknown;N/A","HS-2011-1041","testing",1156
"52","ast403","textrandom;az-6","studentlife","testing",88458
"53","ast403","textrandom;az-6","studentlife","testing",88471
"54","ast403","unknown;az-6","studentlife","Failed Login",88471
"55","ast403","unknown;az-6","wvacation","Failed Login",88530
"56","ast403","textrandom;az-6","wvacation","testing",88536
"57","ast403","textrandom;az-6","wvacation","testing",88539
"58","ast403","unknown;az-6","wvacation","Failed Login",88539
"59","ast403","textrandom;az-6","wvacation","testing",88552
"60","ast403","textrandom;az-6","wvacation","testing",88556
"61","ast403","unknown;az-6","wvacation","Successful Login",88557
"62","ast403","textrandom;az-6","voteforyou","testing",88622
"63","ast403","textrandom;az-6","voteforyou","testing",88627
"64","ast403","unknown;az-6","voteforyou","Successful Login",88627
"65","ast403","textrandom;az-6","studentlife","Created Password",0
"66","ast403","textrandom;az-6","studentlife","testing",30
"67","ast403","textrandom;az-6","studentlife","testing",38
"68","ast403","textrandom;az-6","studentlife","testing",42
"69","ast403","unknown;az-6","studentlife","testing",42
"70","ast403","unknown;az-6","studentlife","testing",42
"71","ast403","textrandom;az-6","studentlife","testing",50
"72","ast403","textrandom;az-6","studentlife","testing",55
"73","ast403","unknown;az-6","studentlife","Successful Login",55
"74","ast403","unknown;N/A","HS-2011-1042","testing",194
"75","ast403","textrandom;az-6","studentlife","testing",172620
"76","ast403","textrandom;az-6","studentlife","testing",172622
"77","ast403","unknown;az-6","studentlife","Failed Login",172622
"78","ast403","textrandom;az-6","studentlife","testing",172626
"79","ast403","textrandom;az-6","studentlife","testing",172636
"80","ast403","unknown;az-6","studentlife","Successful Login",172636
"81","ast403","textrandom;az-6","voteforyou","testing",172742
"82","ast403","textrandom;az-6","voteforyou","testing",172743
"83","ast403","unknown;az-6","voteforyou","Successful Login",172743
"84","ast403","textrandom;az-6","wvacation","testing",172773
"85","ast403","textrandom;az-6","wvacation","testing",172774
"86","ast403","unknown;az-6","wvacation","Successful Login",172775
"87","ast403","unknown;N/A","HS-2011-1043","testing",177316
"88","ast403","textrandom;az-6","studentlife","testing",431842
"89","ast403","textrandom;az-6","studentlife","testing",431874
"90","ast403","unknown;az-6","studentlife","Successful Login",431874
"91","ast403","textrandom;az-6","wvacation","testing",431983
"92","ast403","textrandom;az-6","wvacation","testing",432070
"93","ast403","unknown;az-6","wvacation","Successful Login",432071
"94","ast403","textrandom;az-6","voteforyou","testing",432162
"95","ast403","textrandom;az-6","voteforyou","testing",432172
"96","ast403","unknown;az-6","voteforyou","Successful Login",432172
"97","ast403","unknown;N/A","HS-2011-1044","testing",432360
"98","ast403","textrandom;az-6","voteforyou","testing",532995
"99","ast403","textrandom;az-6","voteforyou","testing",533031
"100","ast403","unknown;az-6","voteforyou","Successful Login",533032
"101","ast403","textrandom;az-6","studentlife","testing",533098
"102","ast403","textrandom;az-6","studentlife","testing",533124
"103","ast403","unknown;az-6","studentlife","Successful Login",533125
"104","ast403","textrandom;az-6","wvacation","testing",533247
"105","ast403","textrandom;az-6","wvacation","testing",533285
"106","ast403","unknown;az-6","wvacation","Successful Login",533285
"107","ast403","unknown;N/A","HS-2011-1045","testing",533679
"108","ast413","unknown;N/A","HS-2011-104","testing",-81289
"109","ast413","textrandom;az-6","wvacation","Created Password",0
"110","ast413","textrandom;az-6","wvacation","testing",34
"111","ast413","textrandom;az-6","wvacation","testing",38
"112","ast413","textrandom;az-6","wvacation","testing",42
"113","ast413","textrandom;az-6","wvacation","testing",54
"114","ast413","textrandom;az-6","studentlife","Created Password",0
"115","ast413","textrandom;az-6","studentlife","testing",18
"116","ast413","textrandom;az-6","studentlife","testing",22
"117","ast413","textrandom;az-6","studentlife","testing",25
"118","ast413","textrandom;az-6","studentlife","testing",33
"119","ast413","textrandom;az-6","voteforyou","Created Password",0
"120","ast413","textrandom;az-6","voteforyou","testing",16
"121","ast413","textrandom;az-6","voteforyou","testing",20
"122","ast413","textrandom;az-6","voteforyou","testing",23
"123","ast413","textrandom;az-6","voteforyou","testing",29
"124","ast413","textrandom;az-6","studentlife","testing",150
"125","ast413","textrandom;az-6","studentlife","testing",162
"126","ast413","unknown;az-6","studentlife","Successful Login",163
"127","ast413","textrandom;az-6","wvacation","testing",281
"128","ast413","textrandom;az-6","wvacation","testing",283
"129","ast413","unknown;az-6","wvacation","Successful Login",284
"130","ast413","textrandom;az-6","voteforyou","testing",388
"131","ast413","textrandom;az-6","voteforyou","testing",399
"132","ast413","textrandom;az-6","voteforyou","testing",402
"133","ast413","unknown;az-6","voteforyou","Successful Login",403
"134","ast413","unknown;N/A","HS-2011-1041","testing",528
"135","ast413","unknown;N/A","HS-2011-1041","testing",769
"136","ast413","textrandom;az-6","studentlife","testing",109789
"137","ast413","textrandom;az-6","studentlife","testing",109793
"138","ast413","unknown;az-6","studentlife","Successful Login",109794
"139","ast413","textrandom;az-6","wvacation","testing",109928
"140","ast413","textrandom;az-6","wvacation","testing",109935
"141","ast413","unknown;az-6","wvacation","Successful Login",109935
"142","ast413","textrandom;az-6","voteforyou","testing",110012
"143","ast413","textrandom;az-6","voteforyou","testing",110014
"144","ast413","unknown;az-6","voteforyou","Successful Login",110015
"145","ast413","unknown;N/A","HS-2011-1042","testing",110154
"146","ast413","unknown;N/A","HS-2011-1042","testing",110170
"147","ast413","textrandom;az-6","studentlife","testing",291418
"148","ast413","textrandom;az-6","studentlife","testing",291420
"149","ast413","unknown;az-6","studentlife","Successful Login",291421
"150","ast413","textrandom;az-6","voteforyou","testing",291572
"151","ast413","textrandom;az-6","voteforyou","testing",291575
"152","ast413","unknown;az-6","voteforyou","Successful Login",291576
"153","ast413","textrandom;az-6","wvacation","testing",291640
"154","ast413","textrandom;az-6","wvacation","testing",291644
"155","ast413","unknown;az-6","wvacation","Successful Login",291645
"156","ast413","unknown;N/A","HS-2011-1043","testing",291814
"157","ast413","textrandom;az-6","studentlife","testing",587253
"158","ast413","textrandom;az-6","studentlife","testing",587259
"159","ast413","unknown;az-6","studentlife","Successful Login",587260
"160","ast413","textrandom;az-6","wvacation","testing",587397
"161","ast413","textrandom;az-6","wvacation","testing",587399
"162","ast413","unknown;az-6","wvacation","Successful Login",587399
"163","ast413","textrandom;az-6","voteforyou","testing",587484
"164","ast413","textrandom;az-6","voteforyou","testing",587488
"165","ast413","unknown;az-6","voteforyou","Successful Login",587489
"166","ast413","unknown;N/A","HS-2011-1044","testing",587574
"167","ast413","textrandom;az-6","voteforyou","testing",672491
"168","ast413","textrandom;az-6","voteforyou","testing",672495
"169","ast413","unknown;az-6","voteforyou","Successful Login",672495
"170","ast413","textrandom;az-6","studentlife","testing",672555
"171","ast413","textrandom;az-6","studentlife","testing",672559
"172","ast413","unknown;az-6","studentlife","Successful Login",672559
"173","ast413","textrandom;az-6","wvacation","testing",672651
"174","ast413","textrandom;az-6","wvacation","testing",672659
"175","ast413","unknown;az-6","wvacation","Successful Login",672660
"176","ast413","unknown;N/A","HS-2011-1045","testing",672790
"177","ast413","unknown;N/A","HS-2011-1045","testing",673267
"178","ast416","unknown;N/A","HS-2011-104","testing",2350
"179","ast416","textrandom;az-6","studentlife","Created Password",0
"180","ast416","textrandom;az-6","studentlife","testing",26
"181","ast416","textrandom;az-6","studentlife","testing",27
"182","ast416","textrandom;az-6","studentlife","testing",47
"183","ast416","textrandom;az-6","studentlife","testing",68
"184","ast416","textrandom;az-6","voteforyou","Created Password",0
"185","ast416","textrandom;az-6","voteforyou","testing",33
"186","ast416","textrandom;az-6","voteforyou","testing",34
"187","ast416","textrandom;az-6","voteforyou","testing",45
"188","ast416","textrandom;az-6","voteforyou","testing",49
"189","ast416","textrandom;az-6","wvacation","Created Password",0
"190","ast416","textrandom;az-6","wvacation","testing",22
"191","ast416","textrandom;az-6","wvacation","testing",22
"192","ast416","textrandom;az-6","wvacation","testing",30
"193","ast416","textrandom;az-6","wvacation","testing",33
"194","ast416","textrandom;az-6","wvacation","testing",68
"195","ast416","textrandom;az-6","wvacation","testing",83
"196","ast416","unknown;az-6","wvacation","Successful Login",83
"197","ast416","textrandom;az-6","voteforyou","testing",367
"198","ast416","textrandom;az-6","voteforyou","testing",435
"199","ast416","unknown;az-6","voteforyou","Successful Login",447
"200","ast416","textrandom;az-6","studentlife","testing",683
"201","ast416","textrandom;az-6","studentlife","testing",696
"202","ast416","unknown;az-6","studentlife","Successful Login",697
"203","ast416","unknown;N/A","HS-2011-1041","testing",1459
"204","ast416","textrandom;az-6","studentlife","testing",120739
"205","ast416","textrandom;az-6","studentlife","testing",120767
"206","ast416","unknown;az-6","studentlife","Successful Login",120769
"207","ast416","textrandom;az-6","wvacation","testing",120776
"208","ast416","textrandom;az-6","wvacation","testing",120793
"209","ast416","unknown;az-6","wvacation","Successful Login",120794
"210","ast416","textrandom;az-6","voteforyou","testing",120799
"211","ast416","textrandom;az-6","voteforyou","testing",120810
"212","ast416","unknown;az-6","voteforyou","Successful Login",120813
"213","ast416","unknown;N/A","HS-2011-1042","testing",121226
"214","ast416","unknown;N/A","HS-2011-1042","testing",121237
"215","ast416","unknown;N/A","HS-2011-1042","testing",121255
"216","ast416","unknown;N/A","HS-2011-1042","testing",121283
"217","ast416","unknown;N/A","HS-2011-1042","testing",121315
"218","ast416","unknown;N/A","HS-2011-1042","testing",121352
"219","ast416","unknown;N/A","HS-2011-1041","testing",248222
"220","ast416","textrandom;az-6","voteforyou","testing",327483
"221","ast416","textrandom;az-6","voteforyou","testing",327608
"222","ast416","unknown;az-6","voteforyou","Successful Login",327609
"223","ast416","textrandom;az-6","studentlife","testing",327618
"224","ast416","textrandom;az-6","studentlife","testing",327632
"225","ast416","unknown;az-6","studentlife","Successful Login",327636
"226","ast416","textrandom;az-6","wvacation","testing",327672
"227","ast416","textrandom;az-6","wvacation","testing",327689
"228","ast416","unknown;az-6","wvacation","Successful Login",327695
"229","ast416","unknown;N/A","HS-2011-1043","testing",328790
"230","ast416","unknown;N/A","HS-2011-1043","testing",328802
"231","ast416","unknown;N/A","HS-2011-1043","testing",328861
"232","ast416","textrandom;az-6","wvacation","testing",603270
"233","ast416","textrandom;az-6","wvacation","testing",603322
"234","ast416","unknown;az-6","wvacation","Successful Login",603323
"235","ast416","textrandom;az-6","voteforyou","testing",603343
"236","ast416","textrandom;az-6","voteforyou","testing",603587
"237","ast416","textrandom;az-6","voteforyou","testing",603601
"238","ast416","unknown;az-6","voteforyou","Successful Login",603605
"239","ast416","textrandom;az-6","studentlife","testing",603672
"240","ast416","textrandom;az-6","studentlife","testing",603701
"241","ast416","unknown;az-6","studentlife","Successful Login",603703
"242","ast416","unknown;N/A","HS-2011-1044","testing",605170
"243","ast416","unknown;N/A","HS-2011-1044","testing",605179
"244","ast416","textrandom;az-6","voteforyou","testing",671068
"245","ast416","textrandom;az-6","voteforyou","testing",671090
"246","ast416","unknown;az-6","voteforyou","Successful Login",671091
"247","ast416","textrandom;az-6","studentlife","testing",671098
"248","ast416","textrandom;az-6","studentlife","testing",671137
"249","ast416","unknown;az-6","studentlife","Successful Login",671139
"250","ast416","textrandom;az-6","wvacation","testing",671149
"251","ast416","textrandom;az-6","wvacation","testing",671156
"252","ast416","unknown;az-6","wvacation","Successful Login",671157
"253","ast416","unknown;N/A","HS-2011-1045","testing",671793
"254","ast416","unknown;N/A","HS-2011-1045","testing",672525
"255","ast416","unknown;N/A","HS-2011-1045","testing",672540
"256","ast417","unknown;N/A","HS-2011-104","testing",1037
"257","ast417","textrandom;az-6","wvacation","Created Password",0
"258","ast417","textrandom;az-6","wvacation","testing",12
"259","ast417","textrandom;az-6","wvacation","testing",17
"260","ast417","textrandom;az-6","wvacation","testing",23
"261","ast417","textrandom;az-6","wvacation","Created Password",0
"262","ast417","textrandom;az-6","wvacation","testing",11
"263","ast417","textrandom;az-6","wvacation","testing",30
"264","ast417","textrandom;az-6","wvacation","testing",39
"265","ast417","textrandom;az-6","wvacation","testing",42
"266","ast417","textrandom;az-6","wvacation","testing",46
"267","ast417","textrandom;az-6","wvacation","testing",80
"268","ast417","textrandom;az-6","wvacation","testing",88
"269","ast417","unknown;az-6","wvacation","Successful Login",88
"270","ast417","textrandom;az-6","studentlife","Created Password",0
"271","ast417","textrandom;az-6","studentlife","testing",14
"272","ast417","textrandom;az-6","studentlife","testing",16
"273","ast417","textrandom;az-6","studentlife","testing",21
"274","ast417","textrandom;az-6","studentlife","testing",34
"275","ast417","textrandom;az-6","studentlife","testing",39
"276","ast417","unknown;az-6","studentlife","Successful Login",40
"277","ast417","textrandom;az-6","voteforyou","Created Password",0
"278","ast417","textrandom;az-6","voteforyou","testing",7
"279","ast417","textrandom;az-6","voteforyou","testing",12
"280","ast417","textrandom;az-6","voteforyou","testing",16
"281","ast417","textrandom;az-6","voteforyou","testing",28
"282","ast417","textrandom;az-6","voteforyou","testing",32
"283","ast417","unknown;az-6","voteforyou","Successful Login",32
"284","ast417","unknown;N/A","HS-2011-1041","testing",1093
"285","ast417","textrandom;az-6","studentlife","testing",119638
"286","ast417","textrandom;az-6","studentlife","testing",119902
"287","ast417","unknown;az-6","studentlife","Failed Login",119902
"288","ast417","textrandom;az-6","studentlife","testing",119912
"289","ast417","textrandom;az-6","studentlife","testing",119925
"290","ast417","unknown;az-6","studentlife","Successful Login",119926
"291","ast417","textrandom;az-6","wvacation","testing",120160
"292","ast417","textrandom;az-6","wvacation","testing",120196
"293","ast417","unknown;az-6","wvacation","Successful Login",120197
"294","ast417","textrandom;az-6","voteforyou","testing",120337
"295","ast417","textrandom;az-6","voteforyou","testing",120351
"296","ast417","unknown;az-6","voteforyou","Successful Login",120352
"297","ast417","unknown;N/A","HS-2011-1042","testing",120518
"298","ast417","textrandom;az-6","studentlife","testing",288118
