"","user","scheme","event","timeTaken_days"
"1","ipt401","unknown;N/A","testing",0
"2","ipt401","testpasstiles;ImageP","Created Password",0
"3","ipt401","testpasstiles;ImageP","testing",0
"4","ipt401","testpasstiles;ImageP","testing",0
"5","ipt401","testpasstiles;ImageP","testing",0
"6","ipt401","testpasstiles;ImageP","testing",0
"7","ipt401","testpasstiles;ImageP","testing",0
"8","ipt401","testpasstiles;ImageP","testing",0
"9","ipt401","testpasstiles;ImageP","testing",0
"10","ipt401","testpasstiles;ImageP","Created Password",0
"11","ipt401","testpasstiles;ImageP","testing",0
"12","ipt401","testpasstiles;ImageP","testing",0
"13","ipt401","testpasstiles;ImageP","testing",0
"14","ipt401","testpasstiles;ImageP","testing",0
"15","ipt401","testpasstiles;ImageP","testing",0
"16","ipt401","testpasstiles;ImageP","testing",0
"17","ipt401","testpasstiles;ImageP","testing",0
"18","ipt401","testpasstiles;ImageP","testing",0
"19","ipt401","testpasstiles;ImageP","testing",0
"20","ipt401","testpasstiles;ImageP","testing",0
"21","ipt401","testpasstiles;ImageP","testing",0
"22","ipt401","testpasstiles;ImageP","testing",0
"23","ipt401","testpasstiles;ImageP","testing",0
"24","ipt401","testpasstiles;ImageP","testing",0
"25","ipt401","testpasstiles;ImageP","testing",0
"26","ipt401","testpasstiles;ImageP","testing",0
"27","ipt401","testpasstiles;ImageP","testing",0
"28","ipt401","testpasstiles;ImageP","testing",0
"29","ipt401","testpasstiles;ImageP","testing",0
"30","ipt401","testpasstiles;ImageP","testing",0
"31","ipt401","testpasstiles;ImageP","testing",0
"32","ipt401","testpasstiles;ImageP","testing",0
"33","ipt401","imagePassTiles;Image","testing",0
"34","ipt401","testpasstiles;ImageP","Created Password",0
"35","ipt401","testpasstiles;ImageP","testing",0
"36","ipt401","testpasstiles;ImageP","testing",0
"37","ipt401","testpasstiles;ImageP","testing",0
"38","ipt401","testpasstiles;ImageP","testing",0
"39","ipt401","testpasstiles;ImageP","testing",0
"40","ipt401","testpasstiles;ImageP","testing",0
"41","ipt401","testpasstiles;ImageP","testing",0
"42","ipt401","testpasstiles;ImageP","testing",0
"43","ipt401","testpasstiles;ImageP","testing",0
"44","ipt401","testpasstiles;ImageP","testing",0
"45","ipt401","testpasstiles;ImageP","testing",0
"46","ipt401","testpasstiles;ImageP","testing",0
"47","ipt401","testpasstiles;ImageP","testing",0
"48","ipt401","testpasstiles;ImageP","testing",0
"49","ipt401","unknown;ImagePasstil","Successful Login",0
"50","ipt401","testpasstiles;ImageP","Created Password",0
"51","ipt401","testpasstiles;ImageP","testing",0
"52","ipt401","testpasstiles;ImageP","testing",0
"53","ipt401","testpasstiles;ImageP","testing",0
"54","ipt401","testpasstiles;ImageP","testing",0
"55","ipt401","testpasstiles;ImageP","testing",0
"56","ipt401","testpasstiles;ImageP","testing",0
"57","ipt401","testpasstiles;ImageP","testing",0
"58","ipt401","testpasstiles;ImageP","testing",0
"59","ipt401","testpasstiles;ImageP","testing",0
"60","ipt401","testpasstiles;ImageP","testing",0
"61","ipt401","testpasstiles;ImageP","testing",0
"62","ipt401","testpasstiles;ImageP","testing",0
"63","ipt401","testpasstiles;ImageP","testing",0
"64","ipt401","testpasstiles;ImageP","testing",0
"65","ipt401","testpasstiles;ImageP","testing",0
"66","ipt401","unknown;ImagePasstil","Successful Login",0
"67","ipt401","testpasstiles;ImageP","Created Password",0
"68","ipt401","testpasstiles;ImageP","testing",0
"69","ipt401","testpasstiles;ImageP","testing",0
"70","ipt401","testpasstiles;ImageP","testing",0
"71","ipt401","testpasstiles;ImageP","testing",0
"72","ipt401","testpasstiles;ImageP","testing",0
"73","ipt401","testpasstiles;ImageP","testing",0
"74","ipt401","testpasstiles;ImageP","testing",0
"75","ipt401","testpasstiles;ImageP","testing",0
"76","ipt401","testpasstiles;ImageP","testing",0
"77","ipt401","testpasstiles;ImageP","testing",0
"78","ipt401","testpasstiles;ImageP","testing",0
"79","ipt401","testpasstiles;ImageP","testing",0
"80","ipt401","testpasstiles;ImageP","testing",0
"81","ipt401","testpasstiles;ImageP","testing",0
"82","ipt401","unknown;ImagePasstil","Successful Login",0
"83","ipt401","unknown;N/A","testing",0
"84","ipt401","unknown;N/A","testing",0
"85","ipt401","unknown;N/A","testing",0
"86","ipt401","unknown;N/A","testing",0
"87","ipt401","testpasstiles;ImageP","testing",0
"88","ipt401","testpasstiles;ImageP","testing",0
"89","ipt401","testpasstiles;ImageP","testing",0
"90","ipt401","unknown;ImagePasstil","Successful Login",1.74
"91","ipt401","testpasstiles;ImageP","testing",0
"92","ipt401","testpasstiles;ImageP","testing",0
"93","ipt401","testpasstiles;ImageP","testing",0
"94","ipt401","unknown;ImagePasstil","Successful Login",1.75
"95","ipt401","testpasstiles;ImageP","testing",0
"96","ipt401","testpasstiles;ImageP","testing",0
"97","ipt401","testpasstiles;ImageP","testing",0
"98","ipt401","unknown;ImagePasstil","Successful Login",1.75
"99","ipt401","unknown;N/A","testing",0
"100","ipt401","unknown;N/A","testing",0
"101","ipt401","unknown;N/A","testing",0
"102","ipt401","testpasstiles;ImageP","testing",0
"103","ipt401","testpasstiles;ImageP","testing",0
"104","ipt401","testpasstiles;ImageP","testing",0
"105","ipt401","unknown;ImagePasstil","Successful Login",3.07
"106","ipt401","testpasstiles;ImageP","testing",0
"107","ipt401","testpasstiles;ImageP","testing",0
"108","ipt401","testpasstiles;ImageP","testing",0
"109","ipt401","unknown;ImagePasstil","Successful Login",3.07
"110","ipt401","testpasstiles;ImageP","testing",0
"111","ipt401","testpasstiles;ImageP","testing",0
"112","ipt401","testpasstiles;ImageP","testing",0
"113","ipt401","unknown;ImagePasstil","Successful Login",3.07
"114","ipt401","unknown;N/A","testing",0
"115","ipt401","unknown;N/A","testing",0
"116","ipt401","unknown;N/A","testing",0
"117","ipt401","testpasstiles;ImageP","testing",0
"118","ipt401","testpasstiles;ImageP","testing",0
"119","ipt401","testpasstiles;ImageP","testing",0
"120","ipt401","unknown;ImagePasstil","Successful Login",7.08
"121","ipt401","testpasstiles;ImageP","testing",0
"122","ipt401","testpasstiles;ImageP","testing",0
"123","ipt401","testpasstiles;ImageP","testing",0
"124","ipt401","unknown;ImagePasstil","Successful Login",7.08
"125","ipt401","testpasstiles;ImageP","testing",0
"126","ipt401","testpasstiles;ImageP","testing",0
"127","ipt401","testpasstiles;ImageP","testing",0
"128","ipt401","unknown;ImagePasstil","Successful Login",7.08
"129","ipt401","unknown;N/A","testing",0
"130","ipt401","unknown;N/A","testing",0
"131","ipt401","unknown;N/A","testing",0
"132","ipt401","unknown;N/A","testing",0
"133","ipt401","unknown;N/A","testing",0
"134","ipt401","unknown;N/A","testing",0
"135","ipt401","unknown;N/A","testing",0
"136","ipt401","unknown;N/A","testing",0
"137","ipt401","unknown;N/A","testing",0
"138","ipt402","unknown;N/A","testing",0
"139","ipt402","testpasstiles;ImageP","Created Password",0
"140","ipt402","testpasstiles;ImageP","testing",0
"141","ipt402","testpasstiles;ImageP","testing",0
"142","ipt402","testpasstiles;ImageP","testing",0
"143","ipt402","testpasstiles;ImageP","testing",0
"144","ipt402","testpasstiles;ImageP","testing",0
"145","ipt402","testpasstiles;ImageP","Created Password",0
"146","ipt402","testpasstiles;ImageP","testing",0
"147","ipt402","testpasstiles;ImageP","testing",0
"148","ipt402","testpasstiles;ImageP","testing",0
"149","ipt402","testpasstiles;ImageP","testing",0
"150","ipt402","testpasstiles;ImageP","testing",0
"151","ipt402","testpasstiles;ImageP","Created Password",0
"152","ipt402","testpasstiles;ImageP","testing",0
"153","ipt402","testpasstiles;ImageP","testing",0
"154","ipt402","testpasstiles;ImageP","testing",0
"155","ipt402","testpasstiles;ImageP","testing",0
"156","ipt402","testpasstiles;ImageP","testing",0
"157","ipt402","testpasstiles;ImageP","testing",0
"158","ipt402","testpasstiles;ImageP","testing",0
"159","ipt402","testpasstiles;ImageP","testing",0
"160","ipt402","testpasstiles;ImageP","testing",0
"161","ipt402","testpasstiles;ImageP","testing",0
"162","ipt402","testpasstiles;ImageP","testing",0
"163","ipt402","testpasstiles;ImageP","testing",0
"164","ipt402","testpasstiles;ImageP","testing",0
"165","ipt402","testpasstiles;ImageP","testing",0
"166","ipt402","testpasstiles;ImageP","testing",0
"167","ipt402","testpasstiles;ImageP","testing",0
"168","ipt402","testpasstiles;ImageP","testing",0
"169","ipt402","testpasstiles;ImageP","testing",0
"170","ipt402","testpasstiles;ImageP","testing",0
"171","ipt402","testpasstiles;ImageP","testing",0
"172","ipt402","testpasstiles;ImageP","testing",0
"173","ipt402","testpasstiles;ImageP","testing",0
"174","ipt402","unknown;ImagePasstil","Successful Login",0
"175","ipt402","testpasstiles;ImageP","testing",0
"176","ipt402","testpasstiles;ImageP","testing",0
"177","ipt402","testpasstiles;ImageP","testing",0
"178","ipt402","unknown;ImagePasstil","Successful Login",0
"179","ipt402","testpasstiles;ImageP","Created Password",0
"180","ipt402","testpasstiles;ImageP","testing",0
"181","ipt402","testpasstiles;ImageP","testing",0
"182","ipt402","testpasstiles;ImageP","testing",0
"183","ipt402","testpasstiles;ImageP","testing",0
"184","ipt402","testpasstiles;ImageP","testing",0
"185","ipt402","testpasstiles;ImageP","testing",0
"186","ipt402","testpasstiles;ImageP","testing",0
"187","ipt402","testpasstiles;ImageP","testing",0
"188","ipt402","testpasstiles;ImageP","Created Password",0
"189","ipt402","testpasstiles;ImageP","testing",0
"190","ipt402","testpasstiles;ImageP","testing",0
"191","ipt402","testpasstiles;ImageP","testing",0
"192","ipt402","testpasstiles;ImageP","testing",0
"193","ipt402","testpasstiles;ImageP","testing",0
"194","ipt402","testpasstiles;ImageP","testing",0
"195","ipt402","testpasstiles;ImageP","testing",0
"196","ipt402","testpasstiles;ImageP","testing",0
"197","ipt402","testpasstiles;ImageP","testing",0
"198","ipt402","testpasstiles;ImageP","testing",0
"199","ipt402","testpasstiles;ImageP","testing",0
"200","ipt402","testpasstiles;ImageP","testing",0
"201","ipt402","testpasstiles;ImageP","testing",0
"202","ipt402","testpasstiles;ImageP","testing",0
"203","ipt402","testpasstiles;ImageP","testing",0
"204","ipt402","testpasstiles;ImageP","Created Password",0
"205","ipt402","testpasstiles;ImageP","testing",0
"206","ipt402","testpasstiles;ImageP","testing",0
"207","ipt402","testpasstiles;ImageP","testing",0
"208","ipt402","testpasstiles;ImageP","testing",0
"209","ipt402","testpasstiles;ImageP","testing",0
"210","ipt402","testpasstiles;ImageP","testing",0
"211","ipt402","testpasstiles;ImageP","testing",0
"212","ipt402","testpasstiles;ImageP","testing",0
"213","ipt402","testpasstiles;ImageP","testing",0
"214","ipt402","testpasstiles;ImageP","testing",0
"215","ipt402","testpasstiles;ImageP","testing",0
"216","ipt402","testpasstiles;ImageP","testing",0
"217","ipt402","testpasstiles;ImageP","testing",0
"218","ipt402","testpasstiles;ImageP","testing",0
"219","ipt402","testpasstiles;ImageP","testing",0
"220","ipt402","testpasstiles;ImageP","testing",0
"221","ipt402","testpasstiles;ImageP","testing",0
"222","ipt402","testpasstiles;ImageP","testing",0
"223","ipt402","testpasstiles;ImageP","testing",0
"224","ipt402","testpasstiles;ImageP","testing",0
"225","ipt402","testpasstiles;ImageP","testing",0
"226","ipt402","unknown;ImagePasstil","Successful Login",0
"227","ipt402","testpasstiles;ImageP","Created Password",0
"228","ipt402","testpasstiles;ImageP","testing",0
"229","ipt402","testpasstiles;ImageP","testing",0
"230","ipt402","testpasstiles;ImageP","testing",0
"231","ipt402","testpasstiles;ImageP","testing",0
"232","ipt402","testpasstiles;ImageP","testing",0
"233","ipt402","testpasstiles;ImageP","testing",0
"234","ipt402","testpasstiles;ImageP","testing",0
"235","ipt402","testpasstiles;ImageP","testing",0
"236","ipt402","testpasstiles;ImageP","testing",0
"237","ipt402","testpasstiles;ImageP","testing",0
"238","ipt402","testpasstiles;ImageP","testing",0
"239","ipt402","testpasstiles;ImageP","testing",0
"240","ipt402","testpasstiles;ImageP","Created Password",0
"241","ipt402","testpasstiles;ImageP","testing",0
"242","ipt402","testpasstiles;ImageP","testing",0
"243","ipt402","testpasstiles;ImageP","testing",0
"244","ipt402","testpasstiles;ImageP","testing",0
"245","ipt402","testpasstiles;ImageP","testing",0
"246","ipt402","testpasstiles;ImageP","testing",0
"247","ipt402","testpasstiles;ImageP","testing",0
"248","ipt402","testpasstiles;ImageP","testing",0
"249","ipt402","testpasstiles;ImageP","testing",0
"250","ipt402","testpasstiles;ImageP","testing",0
"251","ipt402","testpasstiles;ImageP","testing",0
"252","ipt402","testpasstiles;ImageP","testing",0
"253","ipt402","testpasstiles;ImageP","testing",0
"254","ipt402","testpasstiles;ImageP","testing",0
"255","ipt402","testpasstiles;ImageP","testing",0
"256","ipt402","testpasstiles;ImageP","testing",0
"257","ipt402","testpasstiles;ImageP","testing",0
"258","ipt402","testpasstiles;ImageP","testing",0
"259","ipt402","unknown;ImagePasstil","Successful Login",0
"260","ipt402","testpasstiles;ImageP","testing",0
"261","ipt402","testpasstiles;ImageP","testing",0
"262","ipt402","testpasstiles;ImageP","testing",0
"263","ipt402","unknown;ImagePasstil","Successful Login",0.01
"264","ipt402","unknown;N/A","testing",0
"265","ipt402","unknown;N/A","testing",0
"266","ipt402","unknown;N/A","testing",0
"267","ipt402","unknown;N/A","testing",0
"268","ipt402","unknown;N/A","testing",0
"269","ipt402","unknown;N/A","testing",0
"270","ipt402","unknown;N/A","testing",0
"271","ipt402","unknown;N/A","testing",0
"272","ipt402","unknown;N/A","testing",0
"273","ipt402","unknown;N/A","testing",0
"274","ipt402","unknown;N/A","testing",0
"275","ipt402","unknown;N/A","testing",0
"276","ipt402","unknown;N/A","testing",0
