"","user","scheme","event","timeTaken_days"
"1","ast403","unknown;N/A","testing",0
"2","ast403","unknown;N/A","testing",0
"3","ast403","textrandom;az-6","Created Password",0
"4","ast403","textrandom;az-6","testing",0
"5","ast403","textrandom;az-6","testing",0
"6","ast403","textrandom;az-6","testing",0
"7","ast403","textrandom;az-6","testing",0
"8","ast403","textrandom;az-6","testing",0
"9","ast403","textrandom;az-6","testing",0
"10","ast403","textrandom;az-6","testing",0
"11","ast403","textrandom;az-6","testing",0
"12","ast403","textrandom;az-6","Created Password",0
"13","ast403","textrandom;az-6","testing",0
"14","ast403","textrandom;az-6","testing",0
"15","ast403","textrandom;az-6","testing",0
"16","ast403","textrandom;az-6","testing",0
"17","ast403","textrandom;az-6","testing",0
"18","ast403","textrandom;az-6","testing",0
"19","ast403","unknown;az-6","Successful Login",0
"20","ast403","textrandom;az-6","Created Password",0
"21","ast403","textrandom;az-6","testing",0
"22","ast403","textrandom;az-6","testing",0
"23","ast403","textrandom;az-6","testing",0
"24","ast403","textrandom;az-6","testing",0
"25","ast403","textrandom;az-6","Created Password",0
"26","ast403","textrandom;az-6","testing",0
"27","ast403","textrandom;az-6","testing",0
"28","ast403","textrandom;az-6","testing",0
"29","ast403","textrandom;az-6","testing",0
"30","ast403","textrandom;az-6","testing",0
"31","ast403","textrandom;az-6","testing",0
"32","ast403","unknown;az-6","Successful Login",0
"33","ast403","textrandom;az-6","testing",0
"34","ast403","textrandom;az-6","testing",0
"35","ast403","unknown;az-6","Successful Login",0
"36","ast403","unknown;N/A","testing",0
"37","ast403","unknown;N/A","testing",0
"38","ast403","unknown;N/A","testing",0
"39","ast403","unknown;N/A","testing",0
"40","ast403","unknown;N/A","testing",0.01
"41","ast403","unknown;N/A","testing",0.01
"42","ast403","unknown;N/A","testing",0.01
"43","ast403","unknown;N/A","testing",0.01
"44","ast403","unknown;N/A","testing",0.01
"45","ast403","unknown;N/A","testing",0.01
"46","ast403","unknown;N/A","testing",0.01
"47","ast403","unknown;N/A","testing",0.01
"48","ast403","unknown;N/A","testing",0.01
